month,opening_arr,carry_in_arr,new_arr,expansion_arr,reactivation_arr,contraction_arr,churn_arr,closing_arr,residual_arr_must_be_zero
2023-09,0.0,3669492.0,128064.0,0.0,0.0,0.0,0.0,3797556.0,0.0
2023-10,3797556.0,0.0,45000.0,26916.0,0.0,5592.0,41016.0,3822864.0,0.0
2023-11,3822864.0,0.0,117672.0,24960.0,0.0,10260.0,30804.0,3924432.0,0.0
2023-12,3924432.0,0.0,20088.0,38052.0,0.0,7740.0,31404.0,3943428.0,0.0
2024-01,3943428.0,0.0,128784.0,39060.0,0.0,12528.0,18648.0,4080096.0,0.0
2024-02,4080096.0,0.0,113256.0,31380.0,4212.0,7308.0,53808.0,4167828.0,0.0
2024-03,4167828.0,0.0,241464.0,37632.0,0.0,10992.0,39444.0,4396488.0,0.0
2024-04,4396488.0,0.0,178608.0,23328.0,0.0,6528.0,59436.0,4532460.0,0.0
2024-05,4532460.0,0.0,104520.0,37548.0,0.0,10488.0,103152.0,4560888.0,0.0
2024-06,4560888.0,0.0,47124.0,31776.0,0.0,6804.0,36036.0,4596948.0,0.0
2024-07,4596948.0,0.0,179832.0,36000.0,0.0,15900.0,136512.0,4660368.0,0.0
2024-08,4660368.0,0.0,76920.0,28068.0,90024.0,10284.0,51504.0,4793592.0,0.0
2024-09,4793592.0,0.0,150984.0,49860.0,0.0,9156.0,63036.0,4922244.0,0.0
2024-10,4922244.0,0.0,175296.0,45108.0,0.0,14928.0,41304.0,5086416.0,0.0
2024-11,5086416.0,0.0,109272.0,56832.0,0.0,9660.0,36576.0,5206284.0,0.0
2024-12,5206284.0,0.0,72552.0,37920.0,0.0,5160.0,28116.0,5283480.0,0.0
2025-01,5283480.0,0.0,146088.0,67032.0,0.0,9504.0,19368.0,5467728.0,0.0
2025-02,5467728.0,0.0,319716.0,46069.2,0.0,21432.0,71520.0,5740561.2,0.0
2025-03,5740561.2,0.0,247416.0,61973.52,0.0,11340.0,56906.4,5981704.32,0.0
2025-04,5981704.32,0.0,119484.0,48656.88,0.0,14292.24,25396.56,6110156.4,-0.0
2025-05,6110156.4,0.0,621132.0,62161.2,0.0,14137.92,77501.28,6701810.4,0.0
2025-06,6701810.4,0.0,207420.0,88997.04,0.0,6077.76,48240.0,6943909.68,0.0
2025-07,6943909.68,0.0,216900.0,82983.36,0.0,17953.2,136839.36,7089000.48,0.0
2025-08,7089000.48,0.0,136104.0,134630.64,31680.0,9442.8,42518.16,7339454.16,-0.0
2025-09,7339454.16,0.0,647784.0,98599.68,0.0,8718.72,74025.12,8003094.0,0.0
2025-10,8003094.0,0.0,172452.0,145406.16,13168.8,35550.72,55791.6,8242778.64,0.0
2025-11,8242778.64,0.0,204024.0,114483.84,7440.0,32443.68,115960.32,8420322.48,-0.0
2025-12,8420322.48,0.0,401664.0,158963.28,0.0,13806.24,65157.12,8901986.4,0.0
2026-01,8901986.4,0.0,480408.0,167016.72,0.0,17951.04,39896.64,9491563.44,0.0
2026-02,9491563.44,0.0,614472.0,115673.76,1656.72,24848.16,95923.68,10102594.08,0.0
2026-03,10102594.08,0.0,200712.0,142936.56,0.0,16733.76,119804.16,10309704.72,-0.0
2026-04,10309704.72,0.0,388212.0,147584.88,0.0,14382.48,151858.08,10679261.04,0.0
2026-05,10679261.04,0.0,368988.0,127734.96,16896.0,12474.96,73107.36,11107297.68,0.0
2026-06,11107297.68,0.0,476508.0,175250.4,0.0,30354.72,103079.52,11625621.84,0.0
2026-07,11625621.84,0.0,211980.0,168730.56,0.0,10665.6,29485.92,11966180.88,-0.0
2026-08,11966180.88,0.0,327936.0,166358.4,0.0,20499.36,65662.32,12374313.6,-0.0
